lemma_pashto,stem_type,value,confidence,source
لیدل,present,وینـ,1,irregular_database
لیدل,perfective,ووینـ,1,irregular_database
لیدل,past_participle,لیدلی,1,irregular_database
خوړل,present,خورـ,1,irregular_database
خوړل,perfective,وخورـ,1,irregular_database
خوړل,past_participle,خوړلی,1,irregular_database
بوتلل,present,بیایـ,1,irregular_database
بوتلل,perfective,بوځـ,1,irregular_database
بوتلل,past_participle,بوتللی,1,irregular_database
وړل,present,وړـ,1,irregular_database
وړل,perfective,یوسـ,1,irregular_database
وړل,past_participle,وړلی,1,irregular_database
تلل,present,ځـ,1,irregular_database
تلل,perfective,لاړ شـ,1,irregular_database
تلل,past_participle,تللی,1,irregular_database
کول,present,کوـ,1,irregular_database
کول,perfective,کړـ,1,irregular_database
کول,past_participle,کړی,1,irregular_database
کېدل,present,کېږـ,1,irregular_database
کېدل,perfective,شـ,1,irregular_database
کېدل,past_participle,شوی,1,irregular_database
اخیستل,present,اخلـ,1,irregular_database
اخیستل,perfective,اخیستـ,1,irregular_database
اخیستل,past_participle,اخیستلی,1,irregular_database
ایښودل,present,ږدـ,1,irregular_database
ایښودل,perfective,ایښودـ,1,irregular_database
ایښودل,past_participle,ایښودلی,1,irregular_database
اغوستل,present,اغوندـ,1,irregular_database
اغوستل,perfective,اغوستـ,1,irregular_database
اغوستل,past_participle,اغوستلی,1,irregular_database
الوتل,present,الوزـ,1,irregular_database
الوتل,perfective,الوتـ,1,irregular_database
الوتل,past_participle,الوتلی,1,irregular_database
بکېدل,present,بکېږـ,1,irregular_database
بکېدل,perfective,بکـ,1,irregular_database
بکېدل,past_participle,بکېدلی,1,irregular_database
خوښول,present,خوښوـ,1,irregular_database
خوښول,perfective,خوښکـ,1,irregular_database
خوښول,past_participle,خوښولی,1,irregular_database
بلېدل,present,بلېږـ,1,irregular_database
بلېدل,perfective,بلـ,1,irregular_database
بلېدل,past_participle,بلېدلی,1,irregular_database
غوړول,present,غوړوـ,1,irregular_database
غوړول,perfective,غوړکـ,1,irregular_database
غوړول,past_participle,غوړولی,1,irregular_database
خوب شول,present,خوب شوـ,1,irregular_database
خوب شول,perfective,خوب شوـ,1,irregular_database
خوب شول,past_participle,خوب شوی,1,irregular_database
تازه کېدل,present,تازه کېږـ,1,irregular_database
تازه کېدل,perfective,تازه کـ,1,irregular_database
تازه کېدل,past_participle,تازه کېدلی,1,irregular_database
غوره کېدل,present,غوره کېږـ,1,irregular_database
غوره کېدل,perfective,غوره کـ,1,irregular_database
غوره کېدل,past_participle,غوره کېدلی,1,irregular_database
ایستل,present,باسـ,1,irregular_database
ایستل,perfective,ایستـ,1,irregular_database
ایستل,past_participle,ایستلی,1,irregular_database
اوبدل,present,اوبـ,1,irregular_database
اوبدل,perfective,اوبدـ,1,irregular_database
اوبدل,past_participle,اوبدلی,1,irregular_database
پرېښودل,present,پرېږدـ,1,irregular_database
پرېښودل,perfective,پرېښودـ,1,irregular_database
پرېښودل,past_participle,پرېښودلی,1,irregular_database
پېژندل,present,پېژنـ,1,irregular_database
پېژندل,perfective,پېژندـ,1,irregular_database
پېژندل,past_participle,پېژندلی,1,irregular_database
ختل,present,خېژـ,1,irregular_database
ختل,perfective,ختـ,1,irregular_database
ختل,past_participle,ختلی,1,irregular_database
وهل,present,وهـ,1,irregular_database
وهل,perfective,ووهـ,1,irregular_database
وهل,past_participle,وهلی,1,irregular_database
غوښتل,present,غواړـ,1,irregular_database
غوښتل,perfective,غوښتـ,1,irregular_database
غوښتل,past_participle,غوښتلی,1,irregular_database
کتل,present,ګورـ,1,irregular_database
کتل,perfective,کتـ,1,irregular_database
کتل,past_participle,کتلی,1,irregular_database
